#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
BRCA2	675	17173	6818	17131	2576	600185	496	2169
BRCA1	672	12732	5225	12716	2297	113705	299	1274
LDLR	3949	2992	1983	2986	1488	606945	138	159
MLH1	4292	2466	1611	2451	693	120436	17	598
MSH2	4436	2701	1759	2679	674	609309	25	751
COL4A5	1287	835	787	702	632	303630	0	10
FBN1	2200	2688	1128	2676	616	134797	40	293
DMD	1756	2167	1470	1988	578	300377	65	493
ATM	472	4082	2606	4069	574	607585	78	1261
SCN1A	6323	1318	948	1292	507	182389	28	165
TTN	7273	16041	6210	16023	498	188840	611	3502
COL3A1	1281	869	703	855	465	120180	19	92
MECP2	4204	1586	1085	1405	450	300005	46	203
TTN-AS1	100506866	9224	3495	7	434	#	1	0
CFTR	1080	2266	1363	2250	400	602421	26	100
MYBPC3	4607	2094	1058	2087	398	600958	118	354
NF1	4763	2102	1414	2070	365	613113	26	591
APC	324	3579	2559	2629	350	611731	72	722
MSH6	2956	2866	1674	2857	341	600678	39	845
OTC	5009	533	472	417	326	300461	4	13
PALB2	79728	2083	1114	2069	298	610355	46	481
KCNH2	3757	1141	856	1100	285	152427	28	135
TP53	7157	4141	770	2097	285	191170	68	204
F8	2157	479	462	312	278	300841	0	10
MYH7	4625	2520	1197	2464	268	160760	149	508
KCNQ2	3785	657	485	625	256	602235	20	67
NIPBL	25836	598	482	582	252	608667	8	117
GALT	2592	553	393	507	246	606999	18	49
CDKL5	6792	783	605	493	242	300203	9	46
KCNQ1	3784	1605	700	1586	241	607542	22	109
LOC102724058	102724058	660	478	#	233	#	#	#
NSD1	64324	775	516	737	232	606681	19	113
ABCA4	24	1548	793	1544	224	601691	42	104
VPS13B	157680	695	532	652	222	607817	23	199
C11orf65	160140	1539	976	1	218	#	#	#
PAH	5053	977	645	970	209	612349	6	24
PTEN	5728	998	714	949	199	601728	16	303
SCN5A	6331	2306	1036	2296	198	600163	83	260
TSC2	7249	3384	2358	3339	189	191092	84	266
